iter	Passed	Remaining
0	167	83646
1	188	46989
2	201	33443
3	218	27080
4	236	23460
5	248	20473
6	268	18908
7	285	17583
8	303	16533
9	319	15658
10	344	15331
11	371	15111
12	389	14578
13	411	14293
14	435	14069
15	468	14169
16	490	13933
17	514	13782
18	528	13387
19	551	13225
20	576	13154
21	595	12931
22	628	13033
23	651	12925
24	667	12690
25	687	12539
26	703	12316
27	718	12119
28	736	11956
29	754	11816
30	784	11875
31	802	11730
32	818	11581
33	837	11483
34	848	11275
35	864	11139
36	890	11143
37	906	11017
38	946	11187
39	968	11142
40	987	11055
41	1020	11132
42	1054	11204
43	1079	11184
44	1101	11138
45	1135	11208
46	1146	11052
47	1164	10961
48	1177	10837
49	1193	10742
50	1210	10656
51	1226	10563
52	1242	10479
53	1263	10432
54	1281	10366
55	1298	10296
56	1317	10236
57	1334	10169
58	1362	10184
59	1374	10083
60	1397	10057
61	1412	9977
62	1433	9943
63	1455	9915
64	1468	9824
65	1486	9771
66	1498	9687
67	1519	9651
68	1532	9570
69	1547	9504
70	1563	9444
71	1575	9363
72	1592	9317
73	1606	9248
74	1618	9173
75	1632	9107
76	1646	9045
77	1660	8981
78	1679	8951
79	1695	8903
80	1707	8831
81	1728	8812
82	1739	8736
83	1749	8664
84	1767	8631
85	1779	8566
86	1791	8502
87	1809	8469
88	1822	8417
89	1833	8354
90	1849	8314
91	1873	8307
92	1889	8268
93	1906	8233
94	1924	8204
95	1940	8167
96	1956	8126
97	1973	8094
98	1988	8054
99	2004	8018
100	2026	8004
101	2041	7965
102	2052	7912
103	2068	7874
104	2083	7839
105	2097	7796
106	2111	7754
107	2125	7714
108	2134	7656
109	2146	7611
110	2163	7580
111	2178	7545
112	2193	7512
113	2210	7484
114	2226	7455
115	2252	7456
116	2260	7399
117	2268	7343
118	2282	7307
119	2296	7273
120	2314	7249
121	2330	7220
122	2348	7197
123	2363	7165
124	2376	7129
125	2392	7102
126	2406	7067
127	2419	7030
128	2428	6984
129	2444	6956
130	2458	6925
131	2474	6899
132	2491	6876
133	2506	6847
134	2521	6817
135	2538	6794
136	2552	6763
137	2568	6738
138	2583	6709
139	2603	6694
140	2621	6674
141	2644	6667
142	2663	6648
143	2681	6630
144	2699	6608
145	2716	6586
146	2733	6564
147	2746	6533
148	2772	6530
149	2789	6507
150	2804	6481
151	2816	6447
152	2836	6433
153	2862	6431
154	2878	6406
155	2897	6388
156	2921	6382
157	2945	6375
158	2970	6371
159	2996	6368
160	3026	6371
161	3042	6348
162	3073	6353
163	3090	6331
164	3120	6336
165	3136	6310
166	3171	6323
167	3204	6331
168	3234	6334
169	3260	6328
170	3300	6350
171	3332	6355
172	3361	6354
173	3387	6347
174	3413	6338
175	3450	6351
176	3470	6332
177	3494	6321
178	3530	6330
179	3545	6303
180	3574	6300
181	3608	6304
182	3634	6296
183	3647	6263
184	3670	6249
185	3693	6234
186	3707	6205
187	3730	6191
188	3752	6175
189	3775	6159
190	3793	6137
191	3813	6117
192	3843	6113
193	3874	6110
194	3906	6109
195	3931	6098
196	3956	6085
197	3980	6071
198	4037	6106
199	4052	6078
200	4067	6051
201	4078	6016
202	4098	5996
203	4115	5972
204	4128	5940
205	4138	5907
206	4155	5881
207	4167	5850
208	4176	5814
209	4188	5784
210	4204	5759
211	4216	5727
212	4229	5698
213	4243	5671
214	4258	5645
215	4266	5609
216	4279	5581
217	4295	5556
218	4309	5529
219	4322	5501
220	4336	5474
221	4350	5447
222	4373	5433
223	4385	5403
224	4399	5377
225	4407	5343
226	4422	5319
227	4438	5295
228	4453	5270
229	4473	5251
230	4499	5239
231	4513	5214
232	4523	5183
233	4534	5154
234	4548	5128
235	4565	5107
236	4581	5084
237	4598	5061
238	4615	5040
239	4631	5017
240	4643	4990
241	4662	4970
242	4680	4950
243	4691	4922
244	4708	4900
245	4719	4872
246	4740	4855
247	4749	4826
248	4762	4800
249	4777	4777
250	4793	4755
251	4806	4730
252	4817	4703
253	4827	4675
254	4841	4651
255	4855	4628
256	4869	4604
257	4885	4582
258	4900	4559
259	4911	4533
260	4922	4507
261	4950	4496
262	4981	4488
263	5009	4477
264	5027	4458
265	5040	4434
266	5058	4414
267	5072	4391
268	5089	4370
269	5107	4350
270	5124	4329
271	5139	4308
272	5155	4286
273	5169	4264
274	5180	4238
275	5195	4216
276	5206	4191
277	5220	4169
278	5232	4144
279	5247	4123
280	5261	4100
281	5275	4078
282	5284	4051
283	5296	4028
284	5313	4008
285	5330	3988
286	5341	3964
287	5353	3940
288	5365	3917
289	5379	3895
290	5395	3875
291	5412	3855
292	5426	3833
293	5440	3812
294	5448	3786
295	5460	3763
296	5474	3742
297	5490	3721
298	5501	3698
299	5522	3681
300	5536	3660
301	5553	3641
302	5566	3619
303	5577	3595
304	5589	3573
305	5604	3553
306	5619	3532
307	5636	3513
308	5650	3492
309	5666	3472
310	5682	3453
311	5693	3430
312	5707	3409
313	5723	3390
314	5732	3366
315	5743	3344
316	5756	3323
317	5769	3301
318	5780	3279
319	5792	3258
320	5807	3238
321	5821	3218
322	5835	3197
323	5845	3175
324	5855	3152
325	5871	3133
326	5891	3116
327	5902	3095
328	5916	3075
329	5927	3053
330	5939	3032
331	5951	3011
332	5964	2991
333	5975	2970
334	5989	2949
335	6004	2930
336	6017	2910
337	6027	2888
338	6038	2868
339	6054	2849
340	6070	2830
341	6084	2811
342	6101	2792
343	6117	2774
344	6131	2754
345	6145	2735
346	6160	2716
347	6171	2695
348	6183	2675
349	6199	2656
350	6214	2637
351	6227	2618
352	6242	2599
353	6255	2579
354	6268	2560
355	6277	2539
356	6291	2520
357	6301	2499
358	6314	2480
359	6336	2464
360	6350	2445
361	6357	2423
362	6370	2404
363	6387	2386
364	6403	2368
365	6417	2349
366	6431	2330
367	6442	2310
368	6453	2291
369	6469	2272
370	6477	2252
371	6488	2232
372	6503	2214
373	6520	2196
374	6540	2180
375	6557	2162
376	6572	2144
377	6589	2126
378	6603	2108
379	6616	2089
380	6630	2071
381	6643	2052
382	6654	2032
383	6664	2013
384	6678	1994
385	6693	1976
386	6709	1959
387	6725	1941
388	6738	1922
389	6754	1905
390	6766	1886
391	6774	1866
392	6789	1848
393	6805	1830
394	6821	1813
395	6837	1795
396	6853	1778
397	6868	1760
398	6881	1742
399	6899	1724
400	6910	1706
401	6923	1687
402	6934	1669
403	6949	1651
404	6965	1633
405	6976	1615
406	6986	1596
407	7004	1579
408	7012	1560
409	7025	1542
410	7039	1524
411	7053	1506
412	7066	1488
413	7075	1469
414	7090	1452
415	7104	1434
416	7119	1417
417	7135	1399
418	7149	1382
419	7159	1363
420	7170	1345
421	7185	1328
422	7201	1310
423	7217	1293
424	7229	1275
425	7245	1258
426	7261	1241
427	7271	1223
428	7282	1205
429	7296	1187
430	7310	1170
431	7324	1152
432	7340	1135
433	7349	1117
434	7361	1100
435	7377	1082
436	7391	1065
437	7409	1048
438	7425	1031
439	7441	1014
440	7456	997
441	7468	980
442	7488	963
443	7501	946
444	7512	928
445	7527	911
446	7536	893
447	7551	876
448	7562	859
449	7578	842
450	7591	824
451	7606	807
452	7615	790
453	7625	772
454	7638	755
455	7651	738
456	7667	721
457	7681	704
458	7692	687
459	7707	670
460	7716	652
461	7730	635
462	7745	618
463	7762	602
464	7775	585
465	7791	568
466	7808	551
467	7823	534
468	7836	517
469	7855	501
470	7868	484
471	7878	467
472	7898	450
473	7908	433
474	7921	416
475	7952	400
476	7969	384
477	7998	368
478	8018	351
479	8041	335
480	8053	318
481	8070	301
482	8089	284
483	8106	267
484	8122	251
485	8144	234
486	8156	217
487	8169	200
488	8191	184
489	8211	167
490	8232	150
491	8246	134
492	8262	117
493	8281	100
494	8300	83
495	8310	67
496	8332	50
497	8348	33
498	8364	16
499	8381	0
